text_asli,stem_text,label
ya lu tolol punya jabatan apa tuh orang sdane lu katain tuh orang bajingan salah apa dia sama lu tolol,tolol punya jabat orang sdane katain orang bajing salah sama tolol,negative
selamat ultah humas polri semoga kedepan makin jaya,selamat ultah humas polri moga depan makin jaya,positive
𝗕𝗮𝗸𝘁𝗶 𝗣𝗼𝗹𝗿𝗶 𝗨𝗻𝘁𝘂𝗸 𝗞𝗲𝗺𝗮𝗻𝘂𝘀𝗶𝗮𝗮𝗻 donor darah personel gorontalo dalam rangka hari jadi humas polri ke tahun kegiatan ini adalah bentuk kepedulian polri terhadap kemanusiaan khususnya bagi warga masyarakat yang membutuhkan,    donor darah personel gorontalo rangka hari jadi humas polri tahun giat bentuk peduli polri manusia khusus warga masyarakat butuh,positive
kegiatan anjangsana personel satuan brimob polda jambi dalam rangka hut korps brimob polri ke tahun,giat anjangsana personel satu brimob polda jambi rangka hut korps brimob polri tahun,neutral
ini bentuk saling support antar sesama mafia semua yg gangguin bisnis bandit di kriminalisasi kenapa sekarang begini sih semua asik bermain semaunya udah nggak ada lagi kontrol,bentuk saling support antar sama mafia gangguin bisnis bandit kriminalisasi sekarang asik main mau kontrol,negative
bravo polri,bravo polri,positive
yang sejahtera malah polisirakyat mah sekarang malah susah pak,sejahtera malah polisirakyat mah sekarang malah susah pak,negative
tindak semua pak sekalian para artis influencer kelas kakap yg selama ini ngiklanin judol juga,tindak pak sekali artis influencer kelas kakap ngiklanin judol,negative
lemkapi minta polri tuntaskan kasus payment gateway denny indrayana,lemkapi minta polri tuntas kasus payment gateway denny indrayana,neutral
kepala kepolisian resor timor tengah utara beserta staf dan bhayangkari mengucapkan dirgahayu humas polri ke humas polri presisi menuju indonesia maju,kepala polisi resor timor tengah utara serta staf bhayangkari ucap dirgahayu humas polri humas polri presisi tuju indonesia maju,positive
ah elah pantesan sering di bodohin pemerintahan otaknya terlalu kopong si lu,elah pantesan bodohin perintah otak kopong,negative
ini serius kasih bunga ucapan pembukaan penjual minuman keras,serius kasih bunga ucap buka jual minum keras,negative
yg terbaik pecat polisi yg sdh mnyengsarakan bu guru itu y mak kita gsji polisi bukan utk mnyengsarakan guru cc,baik pecat polisi mnyengsarakan guru mak gsji polisi mnyengsarakan guru,negative
berantas miras narkoba judi,berantas miras narkoba judi,negative
min mendag yg skrg jadi menko gmn kelanjutan kasus migornya,min mendag jadi menko lanjut kasus migornya,neutral
itu tuduhan yg serius seharusnya tim andika cari tau siapa pemilik akun tersebut,tuduh serius tim andika cari tau milik akun,negative
penghargaan tersebut merupakan bentuk pengakuan negara lain atas prestasi dan dedikasi polri di bawah kepemimpinan kapolri jenderal listyo sigit prabowo,harga bentuk aku negara atas prestasi dedikasi polri bawah pimpin kapolri jenderal listyo sigit prabowo,neutral
polresta cirebon bersama forkopimda gelar makan siang gratis bergizi di slb lemahabang polri,polresta cirebon sama forkopimda gelar makan siang gratis gizi slb lemahabang polri,neutral
udah bawa suku ni udah bisa buat laporan belum,bawa suku buat lapor,neutral
tolong bersihkan institusi polri pak,sih institusi polri pak,neutral
satuan brimob polda sultra gelar lomba olahraga sambut hari ulang tahun ke korbrimob polri,satu brimob polda sultra gelar lomba olahraga sambut hari ulang tahun korbrimob polri,neutral
tinggal buat lp monggo dibantu,tinggal buat monggo bantu,neutral
janda kok dimainin,janda dimainin,negative
mbang lebih gercep pak jaksa agung aka admin gerindra,mbang lebih gercep pak jaksa agung aka admin gerindra,neutral
anjing lah kalian bangsat,anjing lah kalian bangsat,negative
hehe dah ketandai dari jaman debat,hehe dah tanda jaman debat,neutral
semoga presiden yg baru bisa tegas,moga presiden baru tegas,neutral
kalau terkait dgn oknum pejabat polri sulit rasanya utk masuk dalam ranah hukum walaupun ybs adalah adminnya krn nanti banyak oknum yg terlibat,kait oknum jabat polri sulit rasa masuk ranah hukum ybs adminnya oknum libat,negative
yo gak tauu jangan tanyaa sayaa,tauu jangan tanyaa sayaa,neutral
wkwkwk wes tau ameh gelot roo wong ko ngono dalan hak e wong akeh di srobot,wkwkwk wes tau ameh got roo wong ngono dal hak wong akeh srobot,negative
dan semua itu ada anggaranya ya pak semoga td bocoorrrrr,anggara pak moga bocoorrrrr,negative
sarasehan dalam rangka rangkaian hari jadi humas polri ke tahun yang semula dilaksanakan pada hari rabu oktober bertempat di gedung the tribrata jl darmawangsa kabayoran baru jakarta selatan,sarasehan rangka rangkai hari jadi humas polri tahun mula laksana hari rabu oktober tempat gedung the tribrata darmawangsa kabayoran baru jakarta selatan,neutral
satu lagi bukti kapolda ntt ternyata memang biadab,bukti kapolda ntt nyata biadab,negative
rumah gratis harapan baru bagi pns tni polri guru dan masyarakat berpenghasilan rendah nikmir karyawan paes nakal google tv,rumah gratis harap baru pns tni polri guru masyarakat hasil rendah nikmir karyawan paes nakal google,neutral
colek ingat indonesia merdeka karena rakyat,colek ingat indonesia merdeka rakyat,neutral
pak tolong tunjukkan bahwa polri dalam track yang benarselama ini image polisi msh jelek di mata rakyat,pak tunjuk polri track benarselama image polisi msh jelek mata rakyat,negative
sebagai imbalan jasa peran polri dalam melindungi mengayomi dan melayani masyarakat itukah mungkin yg ada dalam pikiran para oknum polisi nakal pak,imbal jasa peran polri lindung ayom layan masyarakat itu pikir oknum polisi nakal pak,negative
pak tunjukan klo keadilan itu masih ada pak g ada niatan bantuin pak,pak tunjuk adil pak niat bantuin pak,negative
video testimoni dukungan sekaligus himbauan oleh sekertaris desa maraina kec seram utara terhadap polri khususnya polres maluku tengah dan polsek wahai dalam rangka menjaga stabilitas sitkamtibmas menjelang pilkada serentak,video testimoni dukung sekaligus himbauan sekertaris desa maraina kec seram utara polri khusus polres malu tengah polsek wahai rangka jaga stabilitas sitkamtibmas jelang pilkada serentak,positive
tidak semua polisi brengsek seperti jg tidak semua guru baik terbukti jg ada guru yg perkosa ataupun lecehkan siswanya siapapun yg salah hrs diproses hukum mau guru atau polisi terkait kss ibu supriyani polisi yg menabganinya memang bangsat dan perlu dipecat,polisi brengsek guru baik bukti guru perkosa atau leceh siswa siapa salah hrs proses hukum mau guru polisi kait kss ibu supriyani polisi menabganinya bangsat perlu pecat,negative
kapolri respons cepat tindak lanjuti arahan presiden prabowo usai retreat,kapolri respons cepat tindak lanjut arah presiden prabowo usai retreat,positive
bus wisata kok njaluk pengawalan meh wisata po arep perang,bus wisata njaluk awal meh wisata arep perang,neutral
kalau kelompok mereka mau bilang apa sj cukup maaf kasus selesai beres,kelompok mau bilang maaf kasus selesai beres,neutral
keluar fatwa mui demo berjilid,keluar fatwa mui demo jilid,negative
wes no salah galak galak meneh wi,wes salah galak galak teh,negative
yaelahhhhhh neng jogja sedino ra ndelok bus pariwisata dikawal patwal wes termasuk liburan,yaelahhhhhh neng jogja sedino ndelok bus pariwisata kawal patwal wes masuk libur,neutral
mata duittan oknum penegak hukumnya,mata duittan oknum tegak hukum,negative
cegah tawuran polisi pantau jam pulang sekolah polri,cegah tawur polisi pantau jam pulang sekolah polri,neutral
bantu ini agar bisa diusut penembakan mobil camat nya jangan diam saja bisa gercep kan mengusut hal seperti ini,bantu usut tembak mobil camat jangan diam gercep kan usut,negative
kasus rudy soik hrs di usut tuntas sdanai jls siapa bekingnya oknum polisi nakal yg bisa framing media main playing victim dia yg bersalah tp seolah merasa dia yg teraniaya kurang ajar gk sih dukung polri usut tuntas sindikatnya si rudy soik ini basmi sdanai ke akar ny,kasus rudy soik hrs usut tuntas sdanai jls beking oknum polisi nakal framing media main playing victim salah rasa aniaya kurang ajar dukung polri usut tuntas sindikat rudy soik basmi sdanai akar,negative
tahun mengabdi untuk negeri humas polri terus berinovasi dalam menjawab tantangan komunikasi menyebarkan berita baik dan menjaga citra positif polri serta semangat kerja dan profesionalisme yang menjadi landasan humas polri untuk terus hadir memberikan pemahaman tentang,tahun abdi negeri humas polri terus inovasi jawab tantang komunikasi sebar berita baik jaga citra positif polri semangat kerja profesionalisme landas humas polri terus hadir beri paham,positive
nah ini yg benar dpr pun knp terkesan mncri panggung utk ksus receh oknum polisi nakal spt si soik ini hrs nya si soik ini jg dihadirkan di rdp dpr kmrn utk di sinkron kan keterangannya dg keterangan pak kapolda ntt bkn justru dpr terkesan mengadili institusi polri kocak dpr,nah benar dpr knp kes mncri panggung ksus receh oknum polisi nakal soik hrs soik hadir rdp dpr sinkron kan terang terang pak kapolda ntt justru dpr kes adil institusi polri kocak dpr,negative
divisi humas polri gelar sarasehan kadivhumas polri pada masanya dan syukuran hari jadi ke humas polri soliditas terus diperkuat jakarta divisi humas polri menggelar sarasehan bersama para kadivhumas terdahulu sejumlah pimpinan media dan para wartawan,divisi humas polri gelar sarasehan kadivhumas polri masa syukur hari jadi humas polri soliditas terus kuat jakarta divisi humas polri gelar sarasehan sama kadivhumas dahulu jumlah pimpin media wartawan,neutral
ngak jauh dari selangkangan,ngak jauh selangkang,negative
diam aja lu,diam,negative
polisi ngurusin pangan narkoba aja masih massiv teroris papua masih eksis anda salah kamar,polisi ngurusin pangan narkoba massiv teroris papua eks salah kamar,negative
jadi semangat setiap hari muncul di timeline berita menangkap para koruptor bagaimana kapan nih mau pidanakan firly mantan pimpinan jangan banyak pimpinan kpk dewas terdahulu diduga menerima gratifikasi,jadi semangat hari muncul timeline berita tangkap koruptor mau pidana firly mantan pimpin jangan pimpin kpk dewas dahulu duga terima gratifikasi,neutral
ketua dewan pers apresiasi kinerja humas polri di hari jadi ke humas polri,ketua dewan pers apresiasi kerja humas polri hari jadi humas polri,neutral
polri ini baru dibuat ato gimana kenapa br skrg program hari,polri baru buat ato gimana program hari,neutral
irjen pol sandi resmikan pataka humas polri,irjen pol sandi resmi pataka humas polri,neutral
polri dapat kategori a dari kemenpan rb terkait assessment center ssdm,polri kategori kemenpan kait assessment center ssdm,neutral
my president pak tolong ini dibereskan saja kasihan rakyatmu apa gak malu,president pak beres kasihan rakyat malu,negative
cctv cuma buat nilang kendaraan biasa doang yg ngebahayain gini gabisa dicegah lagi harus ada korban jiwa dulu krn lo pada useless,cctv cuma buat nilang kendara biasa doang ngebahayain gabisa cegah korban jiwa dulu useless,negative
maksud perusahaan milik koperasi dan itu menyogok atau memberikan grativikkasi kepada pak gimana kira,maksud usaha milik koperasi sogok beri grativikkasi pak gimana kira,negative
kan alibi nya biar tidak bersalah,kan alibi biar salah,negative
ortunya polisi mutasi ke papua tau mundur tau dipecat dri polri jk anaknya aparat atau pejabat yg melanggar hukum apalagi narkoba ortunya sdh pasti dipecat karena tdk bisa mendidik anaknya saat dirumah keluarga ini sdh resiko menjadi pejabat publik,ortunya polisi mutasi papua tau mundur tau pecat dri polri anak aparat jabat langgar hukum narkoba ortunya pecat didik anak rumah keluarga resiko jabat publik,negative
kapolda riau irjen pol h mohammad iqbal s i k m h mengucapkan dirgahayu divisi humas polri ke terima kasih atas dedikasi dan kerja keras yang telah ditunjukkan bersama kita akan terus maju humas polri presisi menuju indonesia maju iqbal,kapolda riau irjen pol mohammad iqbal ucap dirgahayu divisi humas polri terima kasih atas dedikasi kerja keras tunjuk sama terus maju humas polri presisi tuju indonesia maju iqbal,positive
twitmu harimaumu sabar bro kalau kebelet mending boker dulu,twitmu harimau sabar bro kebelet mending boker dulu,negative
dilaporkan gaya gini pendukung jokowi dulu dikit lapor bawa sappo sappo tai kucing kau,lapor gaya dukung jokowi dulu dikit lapor bawa sappo sappo tai kucing,negative
presiden sdh memberi tugas kpd polri sikat judol perdagangan manusia penyelundupan narkoboy dan kejahatan lainnya,presiden beri tugas kpd polri sikat judol dagang manusia selundup narkoboy jahat lain,neutral
padahal udah punya cctv tapi ga ke kontrol aneh lu semua,padahal punya cctv kontrol aneh,negative
basmi komunis walau pun dlm tubuh polri karna tidak sesuai dgn panca sila,basmi komunis tubuh polri karna sesuai panca sila,negative
silaturahmi ke pengasuh ponpes manshaul huda kapolsek senori polres tuban polda jatim titipkan pesan pilkada aman dan damai,silaturahmi asuh ponpes manshaul huda kapolsek senori polres tuban polda jatim titip pesan pilkada aman damai,positive
terima kasih sobat polri atas ucapan selamat hari sumpah pemuda semangat kita harus terus kita jaga,terima kasih sobat polri atas ucap selamat hari sumpah pemuda semangat terus jaga,positive
selamat pagi pak pak semoga sehat selalu,selamat pagi pak pak moga sehat,positive
dan satu lagi jendral yg terlibat prekusi tahanan yg katanya menista agama tertentu padahal jendral tsb juga sdg di sel di tmpt rltahanan yg sama,jendral libat prekusi tahan kata nista agama tentu padahal jendral sdg sel tmpt rltahanan sama,negative
prestasi biasa karena fungsi polisi memang seharusnya melakukan kewajiban tersebut karena dibayar pajak rakyat jangan cepat memuji diri sendiri karena masih banyak oknum polisi yg terlibat peredaran narkoba judol money laundry,prestasi biasa fungsi polisi laku wajib bayar pajak rakyat jangan cepat puji diri sendiri oknum polisi libat edar narkoba judol money laundry,negative
berarti selama th si berkuasa tdk memberikan perintah yaaaa ataupun memerintahkan polrinya tdk direspon cepat ya trus selama ini si tdk dihargai sm sekali dong olh polri koq tdk seheboh bgini gercepnya ya bung,arti kuasa beri perintah yaaaa atau perintah polrinya direspon cepat trus harga dong olh polri koq heboh bgini gercepnya bung,negative
hati bu disana masih banyak curutnya mulyono jokowi gibran apalagi akun fufufafa,hati sana curutnya mulyono jokowi gibran akun fufufafa,negative
aipda ketut mardika terus intensif lakukan sambang dialogis guna mengajak para pemuda untuk menjadi mitra polri dalam menjaga stabilitas kamtibmas dan juga untuk menjadi contoh dalam tertib berlalu lintas,aipda ketut mardika terus intensif laku sambang dialogis ajak pemuda mitra polri jaga stabilitas kamtibmas contoh tertib lalu lintas,positive
bawa bawa,bawa bawa,neutral
kegiatan minggu kasih di wilayah hukum polsek tutuyan giat di pimpin oleh kapolsek tutuyan ipda reinhard kaingat situasi wilayah hukum polsek tutuyan aman dan kondusif divisi humas polri polri presisi polres boltim reinhard kaingat zld,giat minggu kasih wilayah hukum polsek tutuyan giat pimpin kapolsek tutuyan ipda reinhard kaingat situasi wilayah hukum polsek tutuyan aman kondusif divisi humas polri polri presisi polres boltim reinhard kaingat zld,positive
adili suswono hti,adil suswono hti,negative
ladu singh itu artinya apa pk,ladu singh arti,neutral
polisi konoha dari dulu emang gak ada gunanya anjg emang klo mereka sedikit aja tau tugas dan tanggungjawabpasti korban bisa diminimalisir,polisi konoha dulu emang guna anjg emang tau tugas tanggungjawabpasti korban diminimalisir,negative
kpk kejaksaan polri da kebagian jatah dari mulyono,kpk jaksa polri bagi jatah mulyono,negative
sekelas kabupaten lamban sekali penegakkan keadilan gimana sekelas negara,kelas kabupaten lamban tegak adil gimana kelas negara,neutral
giat patroli subuh piket sat lantas prabumulih di jl jend sudirman kota prabumulih jumat november,giat patroli subuh piket sat lantas prabumulih jend sudirman kota prabumulih jumat november,neutral
baik maupun kepolisian terkesan lamban sangat menertibkan anggotanya,baik maupun polisi kes lamban tertib anggota,negative
semua nya sudah rusak di negeri ini mulai dari kepolisian hukum korupsi judol pinjol setelah orba jatuh sekarang jaman reformasi malah tambah rusak,rusak negeri mulai polisi hukum korupsi judol pinjol orba jatuh sekarang jaman reformasi malah tambah rusak,negative
se mengancam itu kah seorang guru honorer buat elit konawe selatan,ancam orang guru honorer buat elit konawe selatan,negative
penerimaan bintara kompetensi khusus bakomsus polri ta,terima bintara kompetensi khusus bakomsus polri,neutral
pak adillah kalianini sdh ditembak lo pak,pak adil kalianini tembak pak,negative
divisi humas polri menggelar acara sarasehan hari jadi ke humas polri di gedung the tribrata jakarta selatan rabu acara diselenggarakan secara daring maupun luring yang dihadiri langsung oleh pejabat utama divhumas polri,divisi humas polri gelar acara sarasehan hari jadi humas polri gedung the tribrata jakarta selatan rabu acara selenggara daring maupun luring hadir langsung jabat utama divhumas polri,neutral
alhamdulillah semoga berkah,alhamdulillah moga berkah,positive
tahun kemane ajeeeeeee,tahun kemane ajeeeeeee,neutral
barokallah,barokallah,neutral
live report giat patroli subuh piket sat lantas prabumulih di jl jend sudirman kota prabumulih sabtu november,live report giat patroli subuh piket sat lantas prabumulih jend sudirman kota prabumulih sabtu november,neutral
tetap semangat hadir bersinergi untuk membantu masyarakat,tetap semangat hadir sinergi bantu masyarakat,positive
giat patroli subuh piket sat lantas prabumulih di jl jend sudirman kota prabumulih sabtu november,giat patroli subuh piket sat lantas prabumulih jend sudirman kota prabumulih sabtu november,neutral
birukan bojonegoro semoga situasi kamtibmas tetap aman dan kondusif,biru bojonegoro moga situasi kamtibmas tetap aman kondusif,positive
monggo yg minat silakan daftar,monggo minat daftar,neutral
alhamdulillah semoga bermanfaat dan berkah,alhamdulillah moga manfaat berkah,positive
birukan wilayah bojonegoro,biru wilayah bojonegoro,neutral
tetap semangat para pemuda pemudi,tetap semangat pemuda pemudi,positive
hukum harus membela kebenaran dan berpiha pada keadilan penguasa juga harus membela kebenaran berpihak pada keadilan membela yang lemah,hukum bela benar berpiha adil kuasa bela benar pihak adil bela lemah,neutral
kok bisa sih koperasi gitu bisa minta jatah impor gula,koperasi minta jatah impor gula,negative
brarti bner zsman mulyono di biarkanvisi utama emul buat dark age negara iniskrng sdang berusaha mmpertahankan koleganya di pmerintahankita liat ap prab sama sajaini cuma gertakan awal ujungnya sama aj,brarti bner zsman mulyono biarkanvisi utama emul buat dark age negara iniskrng sdang usaha mmpertahankan kolega pmerintahankita liat prab sama sajaini cuma gertak awal ujung sama,negative
hello selamat pagi adakah berita koruptor yg ditangkap oleh hari ini adakah berita pelaku judi online yg ditangkap hari ini semoga semua rakyat bahagia bebas dari kemiskinan,hello selamat pagi ada berita koruptor tangkap hari ada berita laku judi online tangkap hari moga rakyat bahagia bebas miskin,positive
ayo segera daftarkan diri,segera daftar diri,neutral
jumat berkah mantap,jumat berkah mantap,positive
sumpah cape banget liat kerja kakian pak klo gk bisa teringkus si budi gua cuman doa untuk azab yg pedih sama kalian semua yg bermain ataas semua ini,sumpah cape liat kerja kaki pak ringkus budi gua cuman doa azab pedih sama kalian main ataas,negative
mantap hadir berbuat dan bermanfaat,mantap hadir buat manfaat,positive
irjen pol h mohammad iqbal sik mh kapolda riau humas polri merupakan garda terdepan dalam menydanaikan informasi dan kontra narasi humas polri telah menjadi garda terdepan dalam menydanaikan informasi dan membangun persepsi publik tentang tugastugas kepolisian,irjen pol mohammad iqbal sik kapolda riau humas polri garda depan menydanaikan informasi kontra narasi humas polri garda depan menydanaikan informasi bangun persepsi publik tugastugas polisi,neutral
mantap semoga bermanfaat dan berkah,mantap moga manfaat berkah,positive
pantes ga selesai judolnya ternyata ada bekingan dr kominfo,pantes selesai judolnya nyata beking kominfo,negative
mantap barokallah,mantap barokallah,positive
kyaaa ini mah damainya dipertanyakan wkwkw bisa ditekan tuh drivernya,kyaaa mah damai tanya wkwkw tekan drivernya,negative
boleh dilsporkan atas pelanggaran uu pilkada,dilsporkan atas langgar pilkada,negative
semoga aman dan kondusif,moga aman kondusif,positive
kurang kerjaan polisi ngurusin kayak gitu internalnya sendiri saja bobrokkk banyak pungli,kurang kerja polisi ngurusin kayak internal sendiri bobrokkk pungli,negative
ayo segera daftar kan diri,segera daftar kan diri,neutral
jgn melindungi lah mulut mudahh berbohong,jgn lindung lah mulut mudahh bohong,negative
sangat presisi,presisi,positive
noh kelakuan anak buah nya pak sdanah,noh laku anak buah pak sdanah,neutral
tepat betul apa mngelak tentang kejadian kyk gini polisi dah bnyk kurang baiknya nir percaya ma polisi,tepat betul mngelak jadi polisi dah bnyk kurang baik nir percaya polisi,negative
pada mata duittan,mata duittan,negative
apanya yang diberantas judi online yang gak setoran,apa berantas judi online setor,negative
ingat dan catat tanggal dan waktunya,ingat catat tanggal waktu,neutral
mantap semoga informasi berguna,mantap moga informasi guna,positive
selamat beraktivitas pak,selamat aktivitas pak,positive
semoga lancar pak,moga lancar pak,positive
jangan itu oknum mau meras pake narkoba alasanya yg di tageh pengedar narkoba waduh hati polisi sekarang bnyk oknum jadi tukang fitnah untuk meras rakyat hati dan waspada plis jgn mmbela oknum dah bnyk oknum tertangkap polisi jg orang,jangan oknum mau ras pake narkoba alasanya tageh edar narkoba waduh hati polisi sekarang bnyk oknum jadi tukang fitnah ras rakyat hati waspada plis jgn mmbela oknum dah bnyk oknum tangkap polisi orang,negative
anak yatim tanggung jawab kita bersama,anak yatim tanggung jawab sama,neutral
humas polri siap mengabdi kepada masyarakat untuk pencerahan,humas polri siap abdi masyarakat cerah,positive
bangun bang,bangun bang,neutral
ini jelas termasuk dfkdisinformasi framing dan kebencian,jelas masuk dfkdisinformasi framing benci,negative
dittipidsiber bareskrim polri melalui satgas penanggulangan judi online polri telah membongkar kasus judi online jaringan internasional satgas ini dibentuk kapolri jenderal polisi drs listyo sigit prabowo m si sebagai komitmen dalam mendukung implementasi program kerja,dittipidsiber bareskrim polri lalu satgas tanggulang judi online polri bongkar kasus judi online jaring internasional satgas bentuk kapolri jenderal polisi drs listyo sigit prabowo komitmen dukung implementasi program kerja,positive
kapolda bali irjen pol daniel adityajaya sh sik m si meninjau langsung kesiapan pengamanan pemilihan kepala daerah di kabupaten bangli bali kegiatan ini dilaksanakan guna memastikan kesiapan personel polri serta sarana dan prasarana pendukung seperti kendaraan,kapolda bal irjen pol daniel adityajaya sik tinjau langsung kesiap aman pilih kepala daerah kabupaten bangli bal giat laksana pasti kesiap personel polri sarana prasarana dukung kendara,positive
proses anak buah lu atau gweh tempeleng lu,proses anak buah gweh tempeleng,negative
ini cara licik oknum ujung ujungnya minta duit warga dijebak dan dikriminalisasi tidak profesional,cara licik oknum ujung ujung minta duit warga jebak kriminalisasi profesional,negative
ayo dong jgn cuma sadbor doang yg diciduk yg kelas kakapnya juga dong,dong jgn cuma sadbor doang ciduk kelas kakap dong,negative
ditunggu buat panggil koperasi yg disebutkan diatas asik nih bakal nyebar kemana ada yg nyolek nih pak agus subiyanto,tunggu buat panggil koperasi sebut atas asik bakal nyebar nyolek pak agus subiyanto,negative
yak selamat mimpimu terwujud,yak selamat mimpi wujud,positive
dia itu berseragam dari institusi terbaik dinegara kita jadi bebas pukulintimidasi siapa aja mau alasan lagi bad mood atau lagi pengen aja mukul orang tul ga,seragam institusi baik negara jadi bebas pukulintimidasi mau alas bad mood ken mukul orang tul,negative
sperti menyita nasi goreng dari pedagang saja ya,sperti sita nasi goreng dagang,neutral
balik ke logika dasarklo orang luar apa ya bisakalo semua orientasinya kaya untuk apa kita semua percaya akan adanya axistensi ketuhananjare rejeki jodo mati ki wes ono dalane dewe² lha kog saiki kabeh kudu sugeh piye carane yo kancane ngeneki gembuk,balik logika dasarklo orang luar bisakalo orientasi kaya percaya ada axistensi ketuhananjare rejeki jodo mati wes ono dalane dewe lha kog saiki kabeh kudu sugeh piye carane kancane ngeneki gembuk,neutral
polri mulai rekrut alumnus smk perikananpeternakan dapat tugas apa,polri mulai rekrut alumnus smk perikananpeternakan tugas,neutral
berani gak nangkap mr t yang pernah diucapkan sama benny ramdani,berani nangkap ucap sama benny ramdani,negative
judi online and narkoba harus di basmi merusak generation general,judi online and narkoba basmi rusak generation general,negative
semua yg promote judol tangkepin dong pak jgn cuma si sadbor doang selebriti jg banyak yg pernah promote judol,promote judol tangkepin dong pak jgn cuma sadbor doang selebriti promote judol,negative
pecat dari institusi polri,pecat institusi polri,negative
mantaplanjutkan pak fokus dan serius dlm penanganan kasihan generasi masa depan teracuni pikiran karena perjudianini sama seperti narkoba efek kecanduan ini yg mnjadi banyak bibit kejahatan pncurian pmbegalan pmbunuhan dll bahkan bunuh diri,mantaplanjutkan pak fokus serius tangan kasihan generasi masa depan racun pikir perjudianini sama narkoba efek candu mnjadi bibit jahat pncurian pmbegalan pmbunuhan bahkan bunuh diri,negative
peredaran narkoba sejak september oktober kasus jaringan internasional beroperasi di provinsi dikendalikan bersaudara di jambi polri menetapkan tersangka,edar narkoba september oktober kasus jaring internasional operasi provinsi kendali saudara jambi polri tetap sangka,negative
ganti sj ni kapolri kapan masyarakat mau percaya ma klian klu gini trus caranya bkn mengayomi masyarakat malah menindas tolong ditindak tegas anak buah klian ini pecat sj yg anggota korup spti ini,ganti kapolri masyarakat mau percaya klian klu trus cara ayom masyarakat malah tindas tindak tegas anak buah klian pecat anggota korup spti,negative
seharusnya legalkan saja detektif swasta di indonesia lebih jelas dibayar dan profesional polri sdmnya hancur padahal anggaran mereka gede,legal detektif swasta indonesia lebih jelas bayar profesional polri sdmnya hancur padahal anggar gede,negative
percuma ngadu ke pak saja yang kapolri juga enggak ada respon sudahlah dengan seragam nya mereka bebas melakukan apa saja kita rakyat jelantah bisa apa,percuma ngadu pak kapolri enggak respon sudah seragam bebas laku rakyat jelantah,negative
nggak guna lu kerja lu ngapain aja si,kerja ngapain,negative
oknum wakapolres gimana,oknum wakapolres gimana,negative
ini pemerintah atau tiran sih,perintah tiran,negative
ah bener gimik,bener gimik,negative
no viral no justice persetubuhan anak perempuan yang sudah dilaporkan tapi tidak ada tindak lanjut dari bagaimana pak anda memimpin institusi bapak ini biadab banget kalo ga diekspos gini kayaknya ga bakal diproses,viral justice tubuh anak perempuan lapor tindak lanjut pak pimpin institusi bapak biadab kalo ekspos kayak bakal proses,negative
nanti ga ada kerjaan lagi doong,kerja doong,neutral
ah yg bener,bener,neutral
tolong tuh pak ditindak lanjutin laporan masyarakat,pak tindak lanjutin lapor masyarakat,negative
muak liat yang beginian lagi lagi seragam coklat pak tolong lah pak anggota arogan apalagi main pukul rakyat begini ga usah dipiara benar kata prabowobanyak rakyat yg baik yg mau sungguh ngabdi buat negara yg sdanah begini copot dan pecat aj,muak liat begini seragam coklat pak lah pak anggota arogan main pukul rakyat usah piara benar kata prabowobanyak rakyat baik mau ngabdi buat negara sdanah copot pecat,negative
gw dukung penuh klu ini benar semoga judol hilang dr muke bumi indonesia,dukung penuh klu benar moga judol hilang muke bumi indonesia,positive
kejaksaankpk bisa melakukan sesuatu yg lucu niy wkwkwk mentri pertama wowo yg ditangkap sebelum hari,kejaksaankpk laku lucu niy wkwkwk tri wowo tangkap hari,negative
iki lho pak gak usah slidik sono sini pak tekok wong iki paham,iki lho pak usah slidik sono sini pak tekok wong iki paham,neutral
halo sobat semuanya ini dia persyaratan yang harus dibawa saat permohonan skck baru dan atau perpanjangan skck berdasarkan peraturan pemerintah pp nomor tahun tentang penerimaan negara bukan pajak pnbp di lingkungan polri,halo sobat semua syarat bawa mohon skck baru panjang skck dasar atur perintah nomor tahun terima negara pajak pnbp lingkung polri,neutral
gak bakalan berani budi ari punya kartu as mulyono bisa ketar ketir tuh mulyono kalo budi ari ketangkep makanya kemarin data bocor si mulyono bodoh amat,bakal berani budi ari punya kartu mulyono ketar tir mulyono kalo budi ari ketangkep makanya kemarin data bocor mulyono bodoh,negative
mungkin alangkah tepatnya jika polri kembali dibawah panglima tni jadi satu komando seperti dulu jika polri dibawah presiden seperti saat inilah jadinya jangan jangan polri dibawah presiden secara tidak langsung digunakan untuk penguasa,alangkah tepat polri bawah panglima tni jadi komando dulu polri bawah presiden ini jadi jangan jangan polri bawah presiden langsung guna kuasa,neutral
lohhh kan postingan si adi ariyanto sdh jelas mengatakan pajak itu haram makanya gak perlu aja pajak biar aja negara cari duit dari cara lain dan gak perlu gaji tni polri sekolah gratis gak perlu ada puskesmas blt subsidi bahan bakar,lohhh kan postingan adi ariyanto jelas kata pajak haram makanya perlu pajak biar negara cari duit cara perlu gaji tni polri sekolah gratis perlu puskesmas blt subsidi bahan bakar,neutral
____ ternyata polisi yang biang kerok nya kenapa firly bahuri tidak di tahan penegak hukum pelanggar hukum, nyata polisi biang kerok firly bahuri tahan tegak hukum langgar hukum,negative
bgmn nasib para artisinfluencer yg merekomendasikan situs judol,bgmn nasib artisinfluencer rekomendasi situs judol,negative
bubarin aja dah nih instansi,bubarin dah instansi,negative
